日付,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD〜H以外
2019-02-01,516,415,101,66,5,5,7,12,6
2019-02-02,1196,857,339,168,103,16,14,16,22
2019-02-03,2443,1700,743,388,215,26,30,43,41
2019-02-04,712,554,158,74,42,10,4,12,16
2019-02-05,1308,905,403,302,34,1,6,11,49
2019-02-06,1045,677,368,296,12,2,10,9,39
2019-02-07,1144,737,407,285,18,2,11,6,85
2019-02-08,735,447,288,149,83,1,4,8,43
2019-02-09,1689,1213,476,244,129,10,20,25,48
2019-02-10,3043,2138,905,503,254,24,28,53,43
2019-02-11,3285,2160,1125,651,288,18,46,67,55
2019-02-12,1268,900,368,279,31,1,5,18,34
2019-02-13,0,0,0,0,0,0,0,0,0
2019-02-14,1186,723,463,343,27,0,12,25,56
2019-02-15,1161,654,507,407,17,9,9,21,44
2019-02-16,1849,1276,573,307,155,18,22,33,38
2019-02-17,2238,1479,759,457,186,14,25,32,45
2019-02-18,1134,838,296,226,14,6,9,15,26
2019-02-19,1099,825,274,196,23,1,7,28,19
2019-02-20,971,796,175,105,17,6,11,14,22
2019-02-21,1134,778,356,184,86,2,6,22,56
2019-02-22,1029,796,233,158,7,3,14,37,14
2019-02-23,1631,1082,549,294,125,18,16,32,64
2019-02-24,3690,2404,1286,852,204,28,36,67,99
2019-02-25,949,746,203,148,10,2,11,18,14
2019-02-26,979,821,158,109,9,6,7,17,10
2019-02-27,0,0,0,0,0,0,0,0,0
2019-02-28,1061,801,260,175,9,0,10,30,36
